FLAG	KEY	EN	FR	ES	IND	KM	AR	TR	ET	RU	GE	HU	IT	SR	ZH	DE
PHP	EDIT_DETAILS	Edit details	Editer les détails	Editar detalles	Perbarui Rincian	កែ​ប្រែ​ពត៌មាន​លំអិត	تعديل التفاصيل	Detayları düzenle	Redigeeri üksikasjad	Редактировать данные	დეტალების რედაქტირება	Részletek szerkesztése	Modifica dettagli	Izmeni podatke	编辑详情	Bearbeite Details
PHP	EDIT_EVENT_SUMMARY	Edit Event Summary	Editer le Résumé de l'Evénement	Editar el resumen del evento	Perbarui Ringkasan Peristiwa	កែ​សម្រួល​ពត៌មាន​សង្ខេប​អំពី​ព្រឹត្តិការណ៍	تعديل ملخص الحدث	Olay Özetini Düzenle	Redigeeri Sündmuse kokkuvõtet	Редактировать короткое описание события	შემთხვევის საბოლოო ვარიანტის რედაქტირება	Esemény összefoglaló szerkesztése	Modifica Sommario Eventi	Izmeni sažetak događaja	编辑事件摘要	Bearbeite Ereigniszusammenfassung
PHP	EDIT_PROFILE	Edit profile	Editer le profil	Editar el perfil	Perbarui Profil	កែ​សំរួលពត៌មាន​លំអិត	تعديل الملف الشخصي	Profili düzenle	Redigeeri profiili	Редактировать профиль	პროფილის რედაქტირება	Profil szerkesztése	Modifica profilo	Izmeni profil	编辑个人资料	Bearbeite Profil
PHP	EDIT_THIS_ACT	Edit this Act	Editer cet Acte	Editar este acto	Perbarui Tindakan	កែ​សម្រួល​បទ​រំលោភ​នេះ	تعديل هذا الفعل	Fiili Düzenle	Redigeeri seda Toimingut	Редактировать этот акт	აღნიშნული აქტის  რედაქტირება	Cselekmény szerkesztése	Modifica questo Atto	Izmeni ovu radnju	编辑此案件	Bearbeite diesen Fall
PHP	EDIT_THIS_ADDRESS	Edit this Address	Editer cette Adresse	Editar esta dirección	Perbarui Alamat	កែ​សម្រួល​អសយ​ដ្ឋាន​នេះ	تعديل هذا العنوان	Adresi Düzenle	Redigeeri seda Aadressi	Редактировать этот адрес	მოცემული მისამართის რედაქტირება	Cím szerkesztése	Modifica questo Indirizzo	Izmeni ovu adresu	编辑此地址	Bearbeite diese Adresse
PHP	EDIT_THIS_BIOGRAPHIC_DETAILS	Edit this Biographic Details	Editer les Détails biographiques	Editar este detalle biográfico	Perbarui Riwayat Hidup	កែ​សម្រួល​ជីវ​ប្រវត្តិ​សង្ខេប	تعديل التفاصيل الذاتية هذه	Biyografik Detayları Düzenle	Redigeeri neid Eluloolisi üksikasju	Редактировать эти биографические данные	მოცემული ბიოგრაფიული დეტალების რედაქტირება	Életrajzi adat szerkesztése	Modifica questi Dettagli Biografici	Izmeni biografske podatke	编辑此出身背景详情	Bearbeite diese biographischen Details
PHP	EDIT_THIS_CHAIN_OF_EVENT	Edit this Chain of Event	Editer cette Chaîne d'événements	Editar esta cadena de eventos	Perbarui Rangkaian Peristiwa	កែ​សម្រួល​ចង្វាក់​ព្រឹត្តិការណ៍​នេះ	تعديل هذه السلسلة من الأحداث	Olaylar Zincirini Düzenle	Redigeeri seda Sündmuse ahelat	Редактировать эту цепочку событий	შემთხვევის თანამიმდევრობის რედაქტირება	Eseménysorozat szerkesztése	Modifica questa Serie di Eventi	Izmeni lanac događaja	编辑此事件链	Bearbeite die Ereigniskette
PHP	EDIT_THIS_EVENT	Edit this Event	Editer cet Evénement	Editar los datos de este evento	Perbarui Peristiwa	កែ​សម្រួល​ព្រឹត្តិកាណ៍រ​នេះ	تعديل هذا الحدث	Olayı Düzenle	Redigeeri seda Sündmust	Редактировать это событие	მოცემული შემთხვევის რედაქტირება	Esemény szerkesztése	Modifica questo Evento	Izmeni ovaj događaj	编辑此事件	Bearbeite dieses Ereignis
PHP	EDIT_THIS_INFORMATION	Edit this Information	Editer cette Information	Editar los datos de esta información	Perbarui Informasi	កែ​សម្រួល​ពត៌មាន​នេះ	تعديل هذه المعلومات	Bu Bilgiyi Düzenle	Redigeeri seda Infomatsiooni	Редактировать эту информацию	აღნიშნული ინფორმაციის რედაქტირება	Információ szerkesztése	Modifica questa Informazione	Izmeni ovu informaciju	编辑此信息	Bearbeite diese Information
PHP	EDIT_THIS_INTERVENING_PARTY	Edit this Intervening Party	Editer cette Partie Intervenante	Editar los datos de esta parte interviniente	Perbarui Pihak Pengintervensi	កែ​សម្រួល​ភាគី​អន្តរាគមន៍	تعديل الطرف المتدخل هذا	Müdahil Tarafı Düzenle	Redigeeri seda Sekkujat	Редактировать эту вмешивающуюся сторону	მოცემული  ჩართული მხარის რედაქტირება	Beavatkozó fél szerkesztése	Modifica questa Parte Interveniente	Izmeni intervenišuću stranu	编辑此第三方介入	Bearbeite diese eingreifenden Beteiligten
PHP	EDIT_THIS_INTERVENTION	Edit this Intervention	Editer cette Intervention	Editar los datos de esta intervención	Perbarui Intervensi	កែ​សម្រួល​បទ​អន្តរាគមន៍​នេះ	تعديل هذا التدخل	Müdahaleyi Düzenle	Redigeeri seda Sekkumist	Редактировать это вмешательство	მოცემული ინტერვენციის რედაქტირება	Beavatkozás szerkesztése	Modifica questo Intervento	Izmeni ovu intervenciju	编辑此案件介入	Bearbeite diese Intervention
PHP	EDIT_THIS_INVOLVEMENT	Edit this Involvement	Editer cette Implication	Editar los datos de este involucramiento	Perbarui Keterlibatan	កែ​សម្រួល​ការ​ពាក់​ព័ន្ធ​នេះ	تعديل هذ التورط	Katılım Derecesini Düzenle	Redigeeri seda Seotust	Редактировать это участие	მოცემული ჩართულობის რედაქტირება	Bevonás szerkesztése	Modifica questo Coinvolgimento	Izmeni ovo učešće	编辑此案件参与	Bearbeite diese Beteiligung
PHP	EDIT_THIS_PERPETRATOR	Edit this Perpetrator	Editer ce Auteur	Editar los datos de este perpetrador	Perbarui Pelaku	កែ​សម្រួល​ជន​ប្រព្រឹត្តិ​នេះ	تعديل هذا الجاني	Fail Bilgisini Düzenle	Redigeeri seda Toimepanijat	Редактировать этого правонарушителя	მოცემული  სამართალდამრღვევი მხარის რედაქტირება	Elkövető szerkesztése	Modifica questo Autore	Izmeni ovog počinioca	编辑此侵权者	Bearbeite diese_n Angreifer_in
PHP	EDIT_THIS_PERSON	Edit this Person	Editer cette Personne	Editar los datos de esta persona	Perbarui Orang	កែ​សម្រួល​បុគ្គល​នេះ	تعديل هذا الشخص	Kişi Kaydını Düzenle	Redigeeri seda Isikut	Редактировать этого человека	მოცემული  პირის რედაქტირება	Személy szerkesztése	Modifica questa Persona	Izmeni ovu osobu	编辑此人	Bearbeite diese Person
PHP	EDIT_THIS_VICTIM	Edit this Victim	Editer cette Victime	Editar los datos de esta víctima	Perbarui Korban	កែ​សម្រួល​ជន​រង​គ្រោះ​នេះ	تعديل هذه الضحية	Mağdur Kaydını düzenle	Redigeeri seda Ohvrit	Редактировать эту жертву	მოცემული მსხვერპლის რედაქტირება	Áldozat szerkesztése	Modifica questa Vittima	Izmeni ovu žrtvu	编辑此受害者	Bearbeite dieses Opfer
PHP	EDIT_USER	Edit user	Editer ce utilisateur	Editar el o la usuario(a)	Perbarui Pengguna	កែ​សំរួលអ្នក​ប្រើ​ប្រាស់	تعديل المستخدم	Kullanıcı Bilgisini Düzenle	Redigeeri kasutajat	Редактировать пользователя	მომხმარებლის რედაქტირება	Felhasználó szerkesztése	Modifica user/utente	Izmeni korisnika/cu	编辑用户	Bearbeite diese_n Benutzer_in
PHP	EDITING_PERSON_ADDRESS____	Edit the Person's address ...	Modifier l'adresse d'une personne...	Editar la dirección de esta persona…	Memperbarui alamat Orang...	អាស័យ​ដ្ឋានបុគ្គល​ដែល​​កំពុង​កែ​សម្រួល	تعديل عنوان الشخص	Kişi Adresini Düzenle...	Redigeeri selle Isiku aadressi ...	Редактировать адрес человека…	პირის მისამართის რედაქტირება...	Személy címének szerkesztése…	Modifica indirizzo della Persona	Izmeni adresu osobe	编辑此人的地址	Bearbeite die Adresse der Person
PHP	EMAIL	Email	Courriel	Correo electrónico	Email	អ៊ីមែល	البريد الإلكتروني	E-mail	E-mail	E-mail	ელექტრონული ფოსტა	Email	Email	Imejl	邮件	Email
PHP	EMAIL_ADDRESS_REQUIRED__INVAILD_EMAIL	Email address required, Invalid Email	Adresse e-mail nécessaire, adresse e-mail non valide	Es necesario que ingrese una cuenta de correo electrónico. Correo electrónico no válido	E-mail diwajibkan, e-mail tidak sesuai	ចាំ​បាច់​ត្រូវ​មាន​អាសយ​ដ្ឋាន​អ៊ី​មែល​ អ៊ី​មែល​មិន​ត្រឹម​ត្រូវ	البريد الإلكتروني مطلوب، البريد الإلكتروني غير صحيح	E-mail adresi gerekli, Geçersiz E-mail	E-maili aadress nõutav, vigane e-mail	Необходимо указать  правильный E-mail, неправильный адрес электронной почты	მოთხოვნილი ელექტრონული ფოსტა, არასწორი ელექტორნული ფოსტა	Email cím kötelező, Érvénytelen Email	Indirizzo Email richiesto, Email non valida	Neophodna imejl adresa; imejl adresa nevalidna	需要邮件地址，电邮无效	Emailadresse erforderlich, ungültige Email
JS	ENABLE_HELP	Enable Help	Permettre l'Aide	Habilitar Ayuda	Aktifkan bantuan	ជួយ​អោយ​ដំណើរ​ការ	تفعيل المساعدة	Yardımı Etkinleştir	Aktiveeri Abi	Включить помощь	დახმარების შესაძლებლობა	Súgó bekapcsolása	Disattiva la Guida	Omogući pomoć	开启协助	Aktiviere Hilfsfunktion
PHP	ENABLE_INTERACTIVE_TRANSLATION	Enable interactive translation	Activer la traduction interactive	Habilitar la traducción interactiva	Aktifkan Terjemahan Interaktif	ប្រើ​ប្រាស់​ការ​បក​ប្រែ​អន្តរកម្ម	تفعيل الترجمة التفاعلية	İnteraktif çeviriyi etkinleştir	Aktiveeri interaktiivne tõlge	Включить интерактивный перевод	ინტერაქტიული თარგმანის შესაძლებლობა	Interaktív fordítás bekapcsolása	Disattiva la traduzione interattiva	Omogući interaktivni prevod	开启交互式翻译	Aktiviere interaktive Übersetzung
PHP	END_DATE	End Date	Date finale	Fecha de finalización	Tanggal Akhir	កាល​បរិច្ឆេទ​បញ្ចប់	تاريخ الانتهاء	Bitiş Tarihi	Lõppkuupäev	Дата окончания	საბოლოო თარიღი	Befejezés dátuma	Data di Fine	Datum završetka	结束日期	Enddatum
PHP	ENTITY	Entity	Entité	Entidad	Entitas	ផ្នែក​សំខាន់	كيان	Birim	Üksus	Объект	სტრუქტურა	Entitás	Entità 	Entitet	单元	Einheit
PHP	ENTITY_PERMISSIONS	Entity permissions	Permissions niveau entité	Permisos para las entidades	Wewenang entitas	ការ​អនុញ្ញាតិ​របស់ផ្នែក	التصاريح المخولة للكيان	Birim düzenleme izinleri	Üksuse load	Права по объектам	სტრუქტურის ნებართვები	Entitás engedélyek	Autorizzazioni Entità	Dozvola entiteta	单元许可	Einheit Erlaubnisse
PHP	ENTRY	Entry	Saisie	Ingreso	Tambahkan	ការ​បញ្ចូល	الإدْخال	Giriş	Sissekanne	Добавление	შეყვანა	Bejegyzés	Inserimento	Unos	条目	Eintrag
JS	ERROR_OCCORED_WHILE_UPDATING_SERVER_	Error occurred while updating server.	Une erreur s'est produite lors de la mise à jour du serveur.	Se produjo un error durante la actualización del servidor.	Terjadi kesalahan saat memutakhirkan server	មាន​បញ្ហា​កើត​ឡើង​ពេល​ដែល​Server មាន​ការ​កែ​ប្រែ	حدث خطأ أثناء تحديث  جهاز الخادم -السيرفير	Sunucu güncellenirken hata oluştu.	Serveri uuendamise jooksul toimus viga.	Ошибка при обновлении сервера.	სერვერის განახლებისას დაშვებული შეცდომა	A szerver frissítése közben hiba lépett fel.	Errore avvenuto durante l'aggiornamento del server.	Greška se pojavila tokom ažuriranja servera	在更新服务器时发生错误	Fehler geschehen während Serverupdate
PHP	ERROR_OCCURRED_WHILE_CREATING_HURITERM_	Error occurred while creating huriterm.	Une erreur s'est produite lors de la création de huriterm.	Se produjo un error al crear el huriterm	Terjadi kesalahan saat membuat huriterm	មាន​បញ្ហា​កើត​ឡើង​ពេល​ដែល​បង្កើតបញ្ជី​ពាក្យ​យូរីដុក។	حدث خطأ أثناء إنشاء huriterm	Terim oluşturulurken hata oluştu.	Huritermini loomise jooksul toimus viga.	Ошибка при создании huriterm.	huriterm-ის შექმნისას დაშვებული შეცდომა	A huriterm létrehozás közben hiba lépett fel.	Errore avvenuto durante la creazione huriterm	Greška se pojavila tokom kreiranja huriterma	在创造 huriterm 时发生错误	Fehler geschehen während erstellen eines huriterm
PHP	ERROR_ON_FILE_SAVE__UNABLE_TO_SAVE_FILE_	Error on file save. Unable to save file.	Erreur de sauvegarde. Impossible d'enregistrer le fichier.	Se produjo un error al guardar el archivo. No se puede guardar el archivo	Kesalahan terjadi dalam penyimpanan file. File tidak tersimpan	មាន​បញ្ហា​លើ​ឯកសារ​រក្សា​ទុក។ មិន​អាច​រក្សា​ទុក​ឯកសារ​នេះ​បាន​ទេ។	خطأ في حفظ الملف. لم يتم حفظ الملف.	Dosya kaydedilirken hata oluştu. Dosya kaydedilemiyor.	Viga faili salvestamisel. Ei saa faili salvestada.	Ошибка при сохранении файла. Не удается сохранить файл.	ფაილის შენახვისას დაშვებული შეცდომა. შეუძლებელია ფაილის შენახვა	Hiba történt a fájl mentésekor. Nem sikerült elmenteni.	Errore nel salvataggio del file. Impossibile salvare il file.	Greška prilikom čuvanja fajla. Onemogućeno čuvanje fajla.	保存文件错误。无法保存文件。	Fehler beim Speichern der Datei. Nicht möglich Datei zu speichern.
PHP	ERROR_WHILE_CREATING_FIELD_	Error while creating field.	Erreur lors de la création du champ.	Se produjo un error al crear el campo	Terjadi kesalahan saat membuat field	មាន​បញ្ហា​ពេល​បង្កើត​ខ្ទង់	خطأ أثناء إنشاء الخانة	Alan oluştururken hata oluştu.	Viga välja loomisel.	Ошибка при создании поля.	მინდვრის შექმნისას დაშვებული შეცდომა	Hiba történt a mező létrehozása közben.	Errore nella creazione del campo.	Greška prilikom stvaranja fajla.	在创造栏目时错误	Fehler während beim Erstellen des Feldes.
PHP	EVENT	Event	Evénement	Evento	Peristiwa	ព្រឹត្តិការណ៍	الحدث	Olay	Sündmus	Событие	შემთხვევა	Esemény	Evento	Događaj	事件	Ereignis
PHP	EVENT_DESCRIPTION	Event Description	Description de l'Evénement	Descripción del evento	Deskripsi Peristiwa	ការ​ពិពណ៌នា​ព្រឹត្តិការណ៍	بيان الحدث	Olay Tanımı	Sündmuse Kirjeldus	Описание события	შემთხვევის აღწერა	Esemény leírása	Descrizione Evento	Opis događaja	事件说明	Ereignisbeschriebung
PHP	EVENT_DOES_NOT_EXIST_	Event does not exist.	L'événement n'existe pas	El evento no existe	Peristiwa tidak tersedia	មិន​មាន​ព្រឹត្តិការណ៍​នេះ​ទេ	الحدث غير موجود	Böyle bir Olay yok.	Sündmust ei eksisteeri	Событие не существует.	შემთხვევას ადგილი არ ჰქონია	Az esemény nem létezik.	L'Evento non esiste	Događaj ne postoji	事件不存在	Ereignis existiert nicht
PHP	EVENT_SEARCH_FORM	Event Search Form	Formulaire de recherche d'Evénement	Formulario para búsqueda de eventos	Form Pencarian Peristiwa	ទំរង់ស្វែង​រក​ព្រឹត្តិការណ៍	نموذج البحث في الحدث	Olay Arama Formu	Sündmuse Otsingu vorm	Форма поиска событий	შემთხვევის ძიების ფორმა	Esemény keresési űrlap	Modulo di Ricerca Evento	Format za pretragu događaja	事件搜索表	Ereignis Suchformular
PHP	EVENT_STANDARD_FORMAT_XML	Event Standard Format XML	XML du format standard Evénement	Formato estándar de evento en archivo XML	Standar Format Peristiwa XML	ទំរង់​ព្រឹត្តិការណ៍XML	الصيغة القياسية للحدث هي XML	Olay Standart Formatı XML	Sündmuse standard formaat XML	Стандартный формат событий XML	შემთხვევის სტანდარტული ფორმატი XML	Esemény szabvány formátum XML	Formato Standard XML Evento	Standardni format događaja XML	事件标准格式XML	Ereignis Standard Format XML
PHP	EVENT_TITLE	Event Title	Titre de l'événement	Título del evento	Judul Peristiwa	ចំណង​ជើង​ព្រឹត្តិការណ៍	عنوان الحدث	Olay Adı	Sündmuse Pealkiri	Название события	შემთხვევის დასახელება	Esemény címe	Titolo Evento	Naslov događaja	事件名称	Ereignis Titel
PHP	EVENTS	Events	Evénements	Eventos	Peristiwa	ព្រឹត្តិការណ៍	الأحداث	Olaylar	Sündmused	События	შემთხვევები	Események	Eventi	Događaji	多件事件	Ereignisse
PHP	EXAMPLE	Example	Exemple	Ejemplo	Contoh	ឧទាហរណ៍	مثال	Örnek	Näide	Пример	მაგალითი	Példa	Esempio	Primer	例子	Beispiel
PHP	EXAMPLES	Examples	Exemples	Ejemplos	Contoh-contoh	ឧទាហរណ៍	أمثلة	Örnekler	Näited	Примеры	მაგალითები	Példák	Esempi	Primeri	多项例子	Beispiele
PHP	EXISTING_FIELDS	Existing fields	Champs existants	Campos existentes	Fields yang ada	ខ្ទង់​ដែល​មាន​ស្រាប់	الخانات القائمة	Varolan alanlar	Olemasolevad väljad	Существующие поля	არსებული მინდვრები	Meglévő mezők	Campi esistenti	Postojeća polja	现有栏目（多项）	existierende Felder
PHP	EXPORT	Export	Exporter	Exportar	Ekspor	នាំ​ចេញ	تصدير	Dışarıya aktar	Ekspordi	Экспорт	ექსპორტი	Exportálás	esporta	Izvezi	输出	Export
PHP	EXPORT__	Export :	Exporter :	Exportar	Ekspor:	នាំ​ចេញ	تصدير:	Dışarıya aktar:	Ekspordi :	Экспорт :	ექსპორტი:	Exportálás:	Esporta:	Izvezi:	输出 ：	Export:
PHP	EXPORT_DATE	Export Date	Date d'export	Exportar Fecha	Tanggal Ekspor	កាលបរិចេ្ឆទ​នាំចូល​ទិន្នន័យ	تاريخ التصدير	Dışarıya aktarım tarihi	Ekspordi Kuupäev	Дата экспорта	ექსპორტის თარიღი	Exportálás dátuma	Esporta Dati	Datum izvoza	输出日期	Export Daten
PHP	EXPORT_EVENTS	Export Events	Exporter des Evénements	Exportar los eventos	Ekspor Peristiwa	នាំ​ព្រឹត្តិការណ៍ចេញក្រៅ	أحداث التصدير	Olayları dışarıya aktar	Ekspordi Sündmused	Экспортировать события	ექსპორტის შემთხვევები	Események exportálása/Exportálási események	Esporta Eventi	Izvezi događaje	输出事件	Export Ereignisse
PHP	EXPORT_INSTANCE	Export Instance	Instance d'export	Exportar Instancia	Ekspor Peristiwa	ការ​នាំចេញ​ទិន្នន័យ​ភ្លាម	حالة التصدير	Örneği dışarı aktar	Ekspordi Juhtum	Экспортировать экземпляр	ექსპორტის მაგალითი	Elsőfokú exportálás	Esporta Esempio	Izvezi primere (export instance)	输出事例	Export Fall
PHP	EXPORT_THIS_TABLE_TO_A_SPREADSHEET	Export this table to a spreadsheet	Exporter cette table vers une tableur	Exportar esta tabla a una hoja de cálculo	Ekspor tabel ini ke lembar-kerja	បញ្ជូនតារាងនេះ​ទៅ​កាន់​កម្មវិធីអ៊ិកសែល	تصدير هذا الجدول إلى بيانات مُجَدْوَلَة	Bu tabloyu çizelgeye aktar	Ekspordi see tabel arvutustabelisse	Экспортировать эту таблицу	გადაიტანეთ აღნიშნული ცხრილი ცხრილის პროგრამაში	Táblázat exportálása táblázatkezelőbe	Esporta questa tabella su un foglio di calcolo	Izvezi ovu tabelu u spreadsheet	把此表格输出到电子数据表	Exportieren der Tabelle zu einem spreadsheet
PHP	EXPORT_TIME	Export Time	Heure d'export	Exportar Hora	Waktu ekspor	ពេល​វេលា​នាំ​ចេញ​ទិន្នន័យ	وقت التصدير	Zamanı dışarı aktar	Ekspordi Aeg	Время экспорта	ექსპორტის დრო	Exportálás ideje	Esporta Tempo	Vreme izvoza	输出时间	Export Zeit
PHP	FAILED_TO_WRITE_FILE_TO_DISK_	Failed to write file to disk.	Impossible de enregistrer le fichier sur la disque	No se pudo grabar el archivo en el disco	Tidak bisa mencatat pada cakram	មិនអាចថត​ឯកសារ​បញ្ចូល​ក្នុង​ឌិស​បាន	تعذر النسخ على القرص.	Dosya diske yazılamadı.	Faili kirjutamine kettale ebaõnnestus	Не удалось записать файл на диск.	ფაილის დისკზე ვერ ჩაწერა	Nem sikerült a lemezre írni.	Non si è riuscito a scrivere il file su disco	Neuspeh pri prepisivanju fajla na disk	无法把文件写入硬盘	Datei nicht erfolgreich auf die Disk geschrieben
PHP	FALSE	false	faux	falso	FALSE	ខុស	خاطئ	Yanlış	väär	ложь	არასწორი	hibás	FALSE	Netačno	错误	FALSCH
PHP	FAX	Fax	Fax	Fax	Faks	ទូរសារ	فاكس	Faks	Faks	Факс	ფაქსი	Fax	Fax	Faks	传真	Fax
PHP	FIELD_CREATED_SUCCESSFULLY_	Field created successfully.	Champ créé avec succès	El campo ha sido creado correctamente	Field berhasil dibuat	ខ្ទង់​ត្រូវ​បាន​បង្កើត​ជា​ស្ថាពរ​ហើយ	تم إنشاء الخانة بنجاح	Alan başarıyla oluşturuldu.	Väli edukalt loodud	Поле успешно создано.	მინდვრის შექმნა წარმატებით	Mező sikeresen létrehozva.	Campo creato correttamente	Polje uspešno kreirano	创造栏目成功	Feld erfolgreich erstellt
PHP	FIELD_LABEL	Field Label	Etiquette du champ	Etiqueta de campo	Label Field	អក្សរ​សំគាល់​ខ្ទង់	رموز تعريف الخانة	Alan Etiketi	Välja Sedel	Метка поля	მინდვრის მონიშვნა	Mező címke	Campo Etichetta	Etiketa polja	栏目标签	Feld Label
PHP	FIELD_NAME	Field name	Nom du champ	Nombre de campo	Nama Field	ឈ្មោះ​ខ្ទង់	اسم الخانة	Alan Adı	Välja nimi	Название поля	მინდვრის დასახელება	Mező neve	Campo nome	Ime polja	栏目名称	Feld Name
PHP	FIELD_NAME___FIELD_NUMBER_AND_FIELD_LABEL_CANNOT_BE_EMPTY_PLEASE_ENTER_SOME_VALUES	Field name , field number and field label cannot be empty. Please enter some values	Nom du champ, numéro du champ, et étiquette du champ ne peuvent pas être vides. Veuillez entrer des valeurs.	El nombre, número y etiqueta del campo no pueden quedar vacíos. Por favor, ingrese los valores	Nama Field, nomor dan label harus diisi.	ឈ្មោះ​ខ្ទង់​ លេខ​ខ្ទង់​ និង​អក្សរ​សំគាល់​ខ្ទង់​មិន​អាច​ទំនេរ​ទេ	لا يجوز أن يكون اسم الخانة، ورقم الخانة وعلامة الخانة فارغين. يرجى إدخال بعض القيم	Alan adı, alan numarası ve alan etiketi boş olamaz. Lütfen değer giriniz.	Välja nimi, välja number ja välja sedel ei tohi olla tühjad. Palun sisesta mõned väärtused.	Имя поля, номер поля, а метка поля не могут быть пустыми. Пожалуйста, введите несколько значений	მინდვრის სახელი,მინდვრის ნომერი, მინდვრის მონიშვნა არ შეიძლება იყოს ცარიელი, გთხოვთ შეიყვანეთ მაჩვენებლები	Mezőnév, mezőszám és mezőcímke nem lehet üres. Kérlek töltsd ki!	Il campo del nome, del numero e dell'etichetta non possono restare vuoti. Per favore inserisci qualche valore	Ime, broj I etiketa polja ne mogu biti prazni. Molimo dodajte neke vrednosti	栏目名称，栏目号码跟栏目标签一定要填。请输入内容。	Feld Name, Feld Nummer, Feld Label können nicht freigelassen werden. Bitte gibt Werte ein.
PHP	FIELD_NAME_ALREADY_EXISTS__PLEASE_GIVE_IT_ANOTHER_NAME	Field name already exists. Please give it another name	Nom du champ existe déjà. Veuillez donner un autre nom	Este nombre de campo ya existe. Por favor, ingrese un nombre diferente	Nama pengguna sudah digunakan, silahkan cari nama lain.	ថិេលស	اسم الملف موجود من قبل. يرجى إعطائه اسم آخر.	Bu alan adı zaten var. Lütfen başka bir isim verin.	Välja nimi juba eksisteerib. Palun anna sellele uus nimi.	Такое название поля уже существует. Поажлуйста, введите другое имя	მინდვრის სახელი უკვე არსებობს. გთხოვთ მიანიჭეთ სხვა სახელი	A mezőnév már létezik. Kérlek adj neki más nevet!	Campo del nome già esistente. Per favore assegna un altro nome	Ime polja već postoji. Molimo dodelite polju drugo ime	栏目名称已存在。请另给名称。	Dieser Feldname existiert schon. Bitte anderen Namen wählen.
PHP	FIELD_NUMBER	Field number	Numéro du champ	Número de campo	Nomor field	លេខខ្ទង់	رقم الخانة	Alan numarası	Välja number	Номер поля	მინდვრის ნომერი	Mezőszám	Campo numero	Broj polja	栏目号码	Feld Nummer
PHP	FIELD_NUMBER_ALREADY_EXISTS__PLEASE_CHOOSE_A_DIFFERENT_NUMBER	Field number already exists. Please choose a different number	Numéro de champ existe déjà. Veuillez choisir un numéro différent	Este número de campo ya existe. Por favor, elija otro número	Nomor field sudah digunakan. Silahkan pilih nomor yang lain	លេខ​ខ្ទង់​មាន​រួច​ហើយ។​ សូម​ជ្រើស​រើស​លេខ​ផ្សេងទៀត។	رقم الخانة موجود من قبل. يرجى اختيار رقم آخر.	Bu alan numarası zaten var. Lütfen başka bir numara seçin.	Välja number juba eksisteerib. Palun vali uus number.	Номер поля уже существует. Пожалуйста, выберите другое число	მინდვრის ნომერი უკვე არსებობს. გთხოვთ აირჩიოთ სხვა ნომერი	A mezőszám már létezik. Kérlek válassz más számot!	Campo numero già esistente. Per favore scegli un numero differente	Broj polja već postoji. Molimo izaberite drugi broj.	栏目号码已存在。请另选号码。	Feld Nummer existiert bereits. Bitte wähle eine andere Nummer.
PHP	FIELD_NUMBERS_ENDING_WITH_60_TO_80_ARE_RESERVED_FOR_MANAGEMENT_FIELDS__PLEASE_USE_A_NUMBER_WHICH_DO_NOT_FALLS_IN_THIS_RANGE_	Field numbers ending with 60 to 80 are reserved for management fields. Please use a number which do not falls in this range.	Les champs finissant avec les nombres de 60 à 80 sont réservé pour la gestion. Veuillez choisir un nombre en dehors de cette groupe.	Los números de campos con que termina 60 a 80 están reservados para los campos de gestión. Por favor, use un número que no cae en este rango.	Nomor field dengan akhiran 60 ke 80 telah digunakan untuk field manajemen. Silahkan gunakan angka diluar rentang tersebut	ខ្ទង់លេខដែលបញ្ជាប់ពីលេខ៦០ទៅ៨០គឺ​រក្សាទុក​សំរាប់​ខ្ទង់​រដ្ឋបាល​គ្រប់​គ្រង។ សូម​ប្រើ​លេខ​ដែល​មិន​ជាន់​នឹង​លេខ​​ខ្ទង់​ចន្លោះ​នេះ។	أرقام الخانات التي تنتهي بـ 60 إلى 80 مخصصة لخانات الإدارة. يرجى استخدام رقم لا يقع ضمن هذا النطاق	60 ile 80 arasında biten alan numaraları yönetim alanları için ayrılmıştır. Lütfen bu aralık dışında bir numara atayın.	Välja numbrid mille lõpus on 60 või 80 on reserveeritud haldusväljadele. Palun kasutage numbrit, mis ei lange sellesse kriteeriumisse.	Номера полей, заканчивающиеся на цифры от 60 до 80 зарезервированы для полей управления. Используйте номер вне этого диапазона.	მინდვრის ნომრების დაბოლოება 60-დან 80-მდე შენახულია მინდვრების მართვისთვის. გთხოვთ გამოიყენეთ ნომერი, რომელიც არ შედის ამ საზღვრებში	A 60-ra és 80-ra végződő mezőszámok a kezelési mezők számára vannak fenntartva. Kérlek válassz olyan számot ami nem ilyen formátumú.	gestione dei campi. Per favore usa un numero che non cada in questa gamma.	Brojevi polja od 60 do 80 rezervisani su za polja za upravljanje. Molimo upotrebite broj koji se ne nalazi u ovom opsegu.	栏目号码结尾在60到80之间是保留给管理栏目。请选一个不在这范围内的号码。	Feldnummern die mit 60 oder 80 enden, reserviert für Managment Felder. Bitte nutze eine Nummer die nicht in diese Gruppe fällt.
PHP	FIELD_RESET	Field Reset	Réinitialiser le champ	Restaurar campo	Atur ulang Field	ឈ្មោះ​ខ្ទង់​កំណត់​ឡើង​វិញ	إعادة ضبط الخانة	Alan Sıfırlandı	Välja nullimine	Сброс поля	მინდვრის აღდგენა	Mező visszaállítása	Campo di Resettaggio	Resetovanje polja	栏目重设	Feld zurücksetzen
PHP	FIELD_S_	Field(s)	Champ(s)	Campo(s)	Field	ខ្ទង់	الخانة (الخانات)	Alan(lar)	Väli/-jad	Поле(я)	მინდორი (მინდვრები)	Mező(k)	Campo/i	Polje/a	栏目（多项）	Feld(er)
